dok_id,rm,beteckning,titel,datum,debattnamn,dok_url_html,dok_url_text,date,year,month
HC094,2024/25,4,Protokoll 2024/25:4 Torsdagen den 12 september,2024-09-12,Protokoll,//data.riksdagen.se/dokument/HC094.html,//data.riksdagen.se/dokument/HC094.text,2024-09-12,2024,9
HC095,2024/25,5,Protokoll 2024/25:5 Fredagen den 13 september,2024-09-13,Protokoll,//data.riksdagen.se/dokument/HC095.html,//data.riksdagen.se/dokument/HC095.text,2024-09-13,2024,9
HC096,2024/25,6,Protokoll 2024/25:6 Tisdagen den 17 september,2024-09-17,Protokoll,//data.riksdagen.se/dokument/HC096.html,//data.riksdagen.se/dokument/HC096.text,2024-09-17,2024,9
HC097,2024/25,7,Protokoll 2024/25:7 Torsdagen den 19 september,2024-09-19,Protokoll,//data.riksdagen.se/dokument/HC097.html,//data.riksdagen.se/dokument/HC097.text,2024-09-19,2024,9
HC098,2024/25,8,Protokoll 2024/25:8 Fredagen den 20 september,2024-09-20,Protokoll,//data.riksdagen.se/dokument/HC098.html,//data.riksdagen.se/dokument/HC098.text,2024-09-20,2024,9
HC099,2024/25,9,Protokoll 2024/25:9 Tisdagen den 24 september,2024-09-24,Protokoll,//data.riksdagen.se/dokument/HC099.html,//data.riksdagen.se/dokument/HC099.text,2024-09-24,2024,9
HC0910,2024/25,10,Protokoll 2024/25:10 Onsdagen den 25 september,2024-09-25,Protokoll,//data.riksdagen.se/dokument/HC0910.html,//data.riksdagen.se/dokument/HC0910.text,2024-09-25,2024,9
HC0911,2024/25,11,Protokoll 2024/25:11 Torsdagen den 26 september,2024-09-26,Protokoll,//data.riksdagen.se/dokument/HC0911.html,//data.riksdagen.se/dokument/HC0911.text,2024-09-26,2024,9
HC0935,2024/25,35,Protokoll 2024/25:35 Fredagen den 22 november,2024-11-22,Protokoll,//data.riksdagen.se/dokument/HC0935.html,//data.riksdagen.se/dokument/HC0935.text,2024-11-22,2024,11
HC0936,2024/25,36,Protokoll 2024/25:36 Måndagen den 25 november,2024-11-25,Protokoll,//data.riksdagen.se/dokument/HC0936.html,//data.riksdagen.se/dokument/HC0936.text,2024-11-25,2024,11
HC0937,2024/25,37,Protokoll 2024/25:37 Tisdagen den 26 november,2024-11-26,Protokoll,//data.riksdagen.se/dokument/HC0937.html,//data.riksdagen.se/dokument/HC0937.text,2024-11-26,2024,11
HC0938,2024/25,38,Protokoll 2024/25:38 Onsdagen den 27 november,2024-11-27,Protokoll,//data.riksdagen.se/dokument/HC0938.html,//data.riksdagen.se/dokument/HC0938.text,2024-11-27,2024,11
HC0939,2024/25,39,Protokoll 2024/25:39 Torsdagen den 28 november,2024-11-28,Protokoll,//data.riksdagen.se/dokument/HC0939.html,//data.riksdagen.se/dokument/HC0939.text,2024-11-28,2024,11
HC0940,2024/25,40,Protokoll 2024/25:40 Fredagen den 29 november,2024-11-29,Protokoll,//data.riksdagen.se/dokument/HC0940.html,//data.riksdagen.se/dokument/HC0940.text,2024-11-29,2024,11
HC0941,2024/25,41,Protokoll 2024/25:41 Måndagen den 2 december,2024-12-02,Protokoll,//data.riksdagen.se/dokument/HC0941.html,//data.riksdagen.se/dokument/HC0941.text,2024-12-02,2024,12
HC0942,2024/25,42,Protokoll 2024/25:42 Tisdagen den 3 december,2024-12-03,Protokoll,//data.riksdagen.se/dokument/HC0942.html,//data.riksdagen.se/dokument/HC0942.text,2024-12-03,2024,12
HC0943,2024/25,43,Protokoll 2024/25:43 Onsdagen den 4 december,2024-12-04,Protokoll,//data.riksdagen.se/dokument/HC0943.html,//data.riksdagen.se/dokument/HC0943.text,2024-12-04,2024,12
HC0944,2024/25,44,Protokoll 2024/25:44 Torsdagen den 5 december,2024-12-05,Protokoll,//data.riksdagen.se/dokument/HC0944.html,//data.riksdagen.se/dokument/HC0944.text,2024-12-05,2024,12
HC0945,2024/25,45,Protokoll 2024/25:45 Fredagen den 6 december,2024-12-06,Protokoll,//data.riksdagen.se/dokument/HC0945.html,//data.riksdagen.se/dokument/HC0945.text,2024-12-06,2024,12
HC0946,2024/25,46,Protokoll 2024/25:46 Måndagen den 9 december,2024-12-09,Protokoll,//data.riksdagen.se/dokument/HC0946.html,//data.riksdagen.se/dokument/HC0946.text,2024-12-09,2024,12
HC0947,2024/25,47,Protokoll 2024/25:47 Tisdagen den 10 december,2024-12-10,Protokoll,//data.riksdagen.se/dokument/HC0947.html,//data.riksdagen.se/dokument/HC0947.text,2024-12-10,2024,12
HC0948,2024/25,48,Protokoll 2024/25:48 Onsdagen den 11 december,2024-12-11,Protokoll,//data.riksdagen.se/dokument/HC0948.html,//data.riksdagen.se/dokument/HC0948.text,2024-12-11,2024,12
HC0949,2024/25,49,Protokoll 2024/25:49 Torsdagen den 12 december,2024-12-12,Protokoll,//data.riksdagen.se/dokument/HC0949.html,//data.riksdagen.se/dokument/HC0949.text,2024-12-12,2024,12
HC0950,2024/25,50,Protokoll 2024/25:50 Fredagen den 13 december,2024-12-13,Protokoll,//data.riksdagen.se/dokument/HC0950.html,//data.riksdagen.se/dokument/HC0950.text,2024-12-13,2024,12
HC0951,2024/25,51,Protokoll 2024/25:51 Måndagen den 16 december,2024-12-16,Protokoll,//data.riksdagen.se/dokument/HC0951.html,//data.riksdagen.se/dokument/HC0951.text,2024-12-16,2024,12
HC0952,2024/25,52,Protokoll 2024/25:52 Tisdagen den 17 december,2024-12-17,Protokoll,//data.riksdagen.se/dokument/HC0952.html,//data.riksdagen.se/dokument/HC0952.text,2024-12-17,2024,12
HC0953,2024/25,53,Protokoll 2024/25:53 Onsdagen den 18 december,2024-12-18,Protokoll,//data.riksdagen.se/dokument/HC0953.html,//data.riksdagen.se/dokument/HC0953.text,2024-12-18,2024,12
HC0954,2024/25,54,Protokoll 2024/25:54 Torsdagen den 19 december,2024-12-19,Protokoll,//data.riksdagen.se/dokument/HC0954.html,//data.riksdagen.se/dokument/HC0954.text,2024-12-19,2024,12
